seed,gso_type,sparsify,rmse,mean_diversity,mean_novelty,elapsed_sec
10,cov,standard,1.209327,0.867696523850793,0.8635039669591072,1.5815351009368896
10,cov,hard_thr,1.209327,0.867696523850793,0.8635039669591072,1.09959077835083
10,cov,soft_thr,1.209327,0.867696523850793,0.8635039669591072,1.1891140937805176
10,prec,standard,1.2046584999999999,0.8599270084701094,0.8481848834872677,1.1023294925689695
10,prec,hard_thr,1.2046584999999999,0.8599270084701094,0.8481848834872677,1.1054246425628662
10,prec,soft_thr,1.2046584999999999,0.8599270084701094,0.8481848834872677,1.0941238403320312
16,cov,standard,1.2344416999999999,0.8711349742041629,0.9540647216717966,1.188758134841919
16,cov,hard_thr,1.2344416999999999,0.8711349742041629,0.9540647216717966,1.621823787689209
16,cov,soft_thr,1.2344416999999999,0.8711349742041629,0.9540647216717966,1.1472628116607666
16,prec,standard,1.2036364,0.8705214379258783,0.8694909974690705,1.0977959632873535
16,prec,hard_thr,1.2036364,0.8705214379258783,0.8694909974690705,1.1898880004882812
16,prec,soft_thr,1.2036364,0.8705214379258783,0.8694909974690705,1.0929772853851318
42,cov,standard,1.2229694,0.8621825675405086,0.8956637117721031,1.0851449966430664
42,cov,hard_thr,1.2229694,0.8621825675405086,0.8956637117721031,1.0777952671051023
42,cov,soft_thr,1.2229694,0.8621825675405086,0.8956637117721031,1.0720949172973633
42,prec,standard,1.2118574,0.8554255205758281,0.8771788102316903,1.1990790367126465
42,prec,hard_thr,1.2118574,0.8554255205758281,0.8771788102316903,1.095710039138794
42,prec,soft_thr,1.2118574,0.8554255205758281,0.8771788102316903,1.1073806285858154
2025,cov,standard,1.2048116,0.8498988116095804,0.8440452784602407,1.0782384872436523
2025,cov,hard_thr,1.2048116,0.8498988116095804,0.8440452784602407,1.1796889305114746
2025,cov,soft_thr,1.2048116,0.8498988116095804,0.8440452784602407,1.080604076385498
2025,prec,standard,1.2304376,0.8854726406744512,0.9343690459995356,1.0963091850280762
2025,prec,hard_thr,1.2304376,0.8854726406744512,0.9343690459995356,1.1051521301269531
2025,prec,soft_thr,1.2304376,0.8854726406744512,0.9343690459995356,1.110908031463623
12345,cov,standard,1.2188771,0.871228006796704,0.893700909319594,1.2210807800292969
12345,cov,hard_thr,1.2188771,0.871228006796704,0.893700909319594,1.085923671722412
12345,cov,soft_thr,1.2188771,0.871228006796704,0.893700909319594,1.2706754207611084
12345,prec,standard,1.2229292999999999,0.8714376924263518,0.9355081866847424,1.5767641067504885
12345,prec,hard_thr,1.2229292999999999,0.8714376924263518,0.9355081866847424,1.2967674732208252
12345,prec,soft_thr,1.2229292999999999,0.8714376924263518,0.9355081866847424,1.0908441543579102
