seed,gso_type,sparsify,rmse,mean_diversity,mean_novelty,elapsed_sec
10,cov,standard,0.9670921,0.8600131647826547,0.9685065935378523,1.8506543636322021
10,cov,hard_thr,0.9674764,0.8585041627890979,0.9633528514592248,1.583486795425415
10,cov,soft_thr,0.96451354,0.8624079436072409,0.9674023134272677,1.515643835067749
10,prec,standard,0.95159096,0.8612342252107402,0.9601450661002002,1.5101633071899414
10,prec,hard_thr,0.95092964,0.8583205498454968,0.9468718208144947,1.5188870429992676
10,prec,soft_thr,0.961051,0.8725831413199386,0.9539823827164892,1.6700732707977295
16,cov,standard,0.9736164,0.8760180495353763,0.9725113211508617,1.7214481830596924
16,cov,hard_thr,0.97439146,0.8756601243521978,0.9713073163429717,1.6341724395751953
16,cov,soft_thr,0.9723301,0.8662241204265525,0.9708486146715294,1.618035078048706
16,prec,standard,0.9554147,0.8591388500133961,0.9651568233554102,1.5772347450256348
16,prec,hard_thr,0.94998735,0.8646958101397635,0.9547757488627912,1.6637859344482422
16,prec,soft_thr,0.95346546,0.8606781088401366,0.9383450080655626,1.642807960510254
42,cov,standard,0.9751489,0.857279160155755,0.9867914161711588,1.7105257511138916
42,cov,hard_thr,0.97478056,0.8574129477821351,0.9859805071566053,1.4979658126831055
42,cov,soft_thr,0.9738385,0.8627110883269201,0.9862001756519353,1.4931182861328125
42,prec,standard,0.95745796,0.8680642226318586,0.9706535740946206,1.5973761081695557
42,prec,hard_thr,0.9545993,0.8717257324295384,0.9640894056734933,1.51924729347229
42,prec,soft_thr,0.9557897,0.8608653785747845,0.9498471630574452,1.5326011180877686
2025,cov,standard,0.97299546,0.871410349967286,0.9794171485712766,1.4908154010772705
2025,cov,hard_thr,0.9738431,0.8755888917615274,0.9803352040652564,1.6245474815368652
2025,cov,soft_thr,0.9732473,0.8742588184744995,0.9779207170917604,1.4903316497802734
2025,prec,standard,0.9548674,0.8684386177160458,0.9560429081616109,1.9406898021697998
2025,prec,hard_thr,0.9537406,0.8594033519506873,0.9563799115230625,1.5075352191925049
2025,prec,soft_thr,0.9561938,0.8522278383938244,0.9474155379668437,1.6088104248046875
12345,cov,standard,0.97275007,0.8713958514352547,0.971778050910769,1.492204189300537
12345,cov,hard_thr,0.9720659,0.8739872051801546,0.973029848537551,1.5168023109436035
12345,cov,soft_thr,0.97079146,0.8740170196333457,0.9678109505331718,1.4999780654907227
12345,prec,standard,0.95679915,0.8589953649472558,0.9580273464125949,1.6009585857391357
12345,prec,hard_thr,0.9525371,0.8599937256978668,0.955718994289928,1.5314946174621582
12345,prec,soft_thr,0.95139813,0.8634247176346938,0.934988669968985,1.4926958084106445
