seed,gso_type,sparsify,rmse,mean_diversity,mean_novelty,elapsed_sec
10,cov,standard,0.9672775,0.8521713545883443,0.9660300994027022,53.70781993865967
10,cov,hard_thr,0.9660049,0.8466657175542698,0.9664429871027687,53.136778831481934
10,cov,soft_thr,0.9649067,0.8459551533470704,0.9690802687140749,53.03327250480652
10,prec,standard,0.9521925,0.8427958307643518,0.9548845822469667,53.03581166267395
10,prec,hard_thr,0.95091087,0.8513612280924805,0.9474609921360785,53.08014750480652
10,prec,soft_thr,0.95797914,0.8502884800941783,0.9436575132555405,53.119205474853516
16,cov,standard,0.9748399,0.8573774970266362,0.9699454705830325,53.11068511009216
16,cov,hard_thr,0.97389275,0.8477481836812082,0.971559506728502,53.068442821502686
16,cov,soft_thr,0.9726118,0.8398979305980562,0.9709987638734403,53.20282173156738
16,prec,standard,0.95418465,0.8416289192773125,0.9650425919308746,53.060081243515015
16,prec,hard_thr,0.9502776,0.858974734288338,0.9485093375302512,53.010722637176514
16,prec,soft_thr,0.9537348,0.8396207348586062,0.9350515098134989,53.03280544281006
42,cov,standard,0.9757278,0.8360212859019067,0.9818680258267924,53.17815685272217
42,cov,hard_thr,0.97528446,0.8268911995312079,0.9841365918336403,53.275033473968506
42,cov,soft_thr,0.9736571,0.8446772266490992,0.9830820164011942,56.279112815856934
42,prec,standard,0.9573566,0.8599562639430036,0.9698515489864338,54.504230260849
42,prec,hard_thr,0.95374656,0.8533569838502421,0.9648240480718572,53.16236686706543
42,prec,soft_thr,0.9586683,0.853918606450047,0.9576536606195651,53.14731216430664
2025,cov,standard,0.9738552,0.8453866214677586,0.9827502081940747,53.201191663742065
2025,cov,hard_thr,0.97252154,0.8491249930426479,0.9770074071399651,54.26494908332825
2025,cov,soft_thr,0.97212654,0.8506639055604684,0.9814129674000235,53.09091234207153
2025,prec,standard,0.95431495,0.848608467736107,0.9586103331121963,53.08296227455139
2025,prec,hard_thr,0.9543635,0.8585018849432976,0.9521478009535655,53.12985014915466
2025,prec,soft_thr,0.9576655,0.8349303422061746,0.9586720253656444,53.056370973587036
12345,cov,standard,0.97241616,0.8429427885608817,0.975797802346081,53.10266041755676
12345,cov,hard_thr,0.97202176,0.8426396687488931,0.972288549106256,53.14393186569214
12345,cov,soft_thr,0.97179985,0.8445691424015758,0.9689538474847273,54.44248008728027
12345,prec,standard,0.95623976,0.8342248272356872,0.9598846441027801,54.46678948402405
12345,prec,hard_thr,0.95157653,0.8475486654577624,0.9600529884701433,53.14921760559082
12345,prec,soft_thr,0.95138985,0.8422402863851098,0.9382914345695716,53.245041847229004
