seed,gso_type,sparsify,rmse,mean_diversity,mean_novelty,elapsed_sec
10,cov,standard,1.0045658,0.8609497422076777,0.8505706270392451,1.0030803680419922
10,cov,hard_thr,1.0045658,0.8609497422076777,0.8505706270392451,0.8442730903625488
10,cov,soft_thr,1.0045658,0.8609497422076777,0.8505706270392451,0.8045814037322998
10,prec,standard,1.0046637,0.8628872714555907,0.8546510589108798,0.7362594604492188
10,prec,hard_thr,1.0046637,0.8628872714555907,0.8546510589108798,0.8039219379425049
10,prec,soft_thr,1.0046637,0.8628872714555907,0.8546510589108798,0.7958979606628418
16,cov,standard,1.007954,0.8625429643045128,0.884910412827637,0.7395002841949463
16,cov,hard_thr,1.007954,0.8625429643045128,0.884910412827637,0.7516884803771973
16,cov,soft_thr,1.007954,0.8625429643045128,0.884910412827637,0.7451040744781494
16,prec,standard,1.007528,0.8620608094171102,0.8851409220734777,0.8817963600158691
16,prec,hard_thr,1.007528,0.8620608094171102,0.8851409220734777,0.8134405612945557
16,prec,soft_thr,1.007528,0.8620608094171102,0.8851409220734777,0.7878108024597168
42,cov,standard,1.0108681,0.8566340744375169,0.8623673235740976,0.7476513385772705
42,cov,hard_thr,1.0108681,0.8566340744375169,0.8623673235740976,0.7205009460449219
42,cov,soft_thr,1.0108681,0.8566340744375169,0.8623673235740976,0.7902884483337402
42,prec,standard,1.0106559,0.8597072050029767,0.860775283558051,0.7258589267730713
42,prec,hard_thr,1.0106559,0.8597072050029767,0.860775283558051,0.7739896774291992
42,prec,soft_thr,1.0106559,0.8597072050029767,0.860775283558051,0.7698867321014404
2025,cov,standard,1.0329232,0.8874725021789578,0.9364642746513068,0.8014621734619141
2025,cov,hard_thr,1.0329232,0.8874725021789578,0.9364642746513068,0.7307040691375732
2025,cov,soft_thr,1.0329232,0.8874725021789578,0.9364642746513068,0.7505216598510742
2025,prec,standard,1.0325986,0.8857784980102211,0.9381454463962593,0.9315876960754395
2025,prec,hard_thr,1.0325986,0.8857784980102211,0.9381454463962593,0.970721960067749
2025,prec,soft_thr,1.0325986,0.8857784980102211,0.9381454463962593,1.0430080890655518
12345,cov,standard,1.0183835,0.8683540999744641,0.9053508745375201,0.9169223308563232
12345,cov,hard_thr,1.0183835,0.8683540999744641,0.9053508745375201,0.9493019580841064
12345,cov,soft_thr,1.0183835,0.8683540999744641,0.9053508745375201,0.9873349666595459
12345,prec,standard,1.0164925,0.8894372376810354,0.9054107673869227,0.9585154056549072
12345,prec,hard_thr,1.0164925,0.8894372376810354,0.9054107673869227,0.9824461936950684
12345,prec,soft_thr,1.0164925,0.8894372376810354,0.9054107673869227,0.9269413948059082
